UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temperature_Difference,Wear_Torque_Index,AirTemp_RollingMean,ProcessTemp_RollingMean,Torque_RollingMean,ToolWear_RollingMean,Torque_Lag1,ToolWear_Lag1,AirTemp_Change,ProcessTemp_Change,Torque_Change,ToolWear_Change,AirTemp_RollingStd,ProcessTemp_RollingStd,Torque_RollingStd,ToolWear_RollingStd,Ambient_Humidity,Energy_Load_Index,Production_Demand,Shift,Days_Since_Maintenance,Production_Demand_Value,Torque_Load,Wear_Demand,Temperature_Humidity
1,L70598,L,297.9,307.1,1525,20.3,238,0,0,0,0,0,0,9.200000000000044,4831.400000000001,297.9,307.1,20.3,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,0.63,Low,Night,111,1,12.789,238,20882.800000000003
2,H76399,H,298.6,307.8,1384,32.3,249,0,0,0,0,0,0,9.199999999999989,8042.699999999999,298.25,307.45000000000005,26.3,243.5,20.3,238.0,0.7000000000000455,0.6999999999999886,11.999999999999996,11.0,0.0,0.0,0.0,0.0,81,0.98,Medium,Night,9,2,31.653999999999996,498,24931.8
3,M37684,M,305.0,314.1,1958,36.3,67,0,0,0,0,0,0,9.100000000000025,2432.1,300.5,309.6666666666667,29.63333333333333,184.66666666666663,32.3,249.0,6.399999999999977,6.300000000000011,4.0,-182.0,0.0,0.0,0.0,0.0,58,0.82,Low,Day,6,1,29.765999999999995,67,18217.800000000003
4,L78591,L,300.3,309.7,1009,46.8,248,1,0,0,0,1,0,9.399999999999975,11606.4,300.45,309.675,33.925,200.5,36.3,67.0,-4.699999999999989,-4.400000000000034,10.5,181.0,0.0,0.0,0.0,0.0,44,0.45,Medium,Night,134,2,21.06,496,13626.8
5,L87722,L,300.7,311.6,1863,38.6,133,0,0,0,0,0,0,10.900000000000034,5133.8,300.5,310.06000000000006,34.86,187.0,46.8,248.0,0.3999999999999772,1.900000000000034,-8.199999999999996,-115.0,0.0,0.0,0.0,0.0,72,0.92,Medium,Day,26,2,35.512,266,22435.2
6,L12682,L,297.6,309.4,1705,50.5,121,0,0,0,0,0,0,11.799999999999956,6110.5,300.01666666666665,309.95,37.46666666666666,176.0,38.6,133.0,-3.099999999999966,-2.200000000000045,11.9,-12.0,0.0,0.0,0.0,0.0,37,0.69,High,Day,43,3,34.845,363,11447.8
7,L48046,L,296.3,305.0,1404,45.9,210,0,0,0,0,0,0,8.699999999999989,9639.0,299.4857142857143,309.24285714285713,38.67142857142857,180.8571428571429,50.5,121.0,-1.3000000000000114,-4.399999999999977,-4.600000000000001,89.0,0.0,0.0,0.0,0.0,90,0.44,Medium,Day,19,2,20.195999999999998,420,27450.0
8,M31832,M,298.4,309.6,1873,45.0,59,0,0,0,0,0,0,11.200000000000044,2655.0,299.35,309.2875,39.4625,165.625,45.9,210.0,2.099999999999966,4.600000000000023,-0.8999999999999986,-151.0,0.0,0.0,0.0,0.0,50,0.73,Low,Day,16,1,32.85,59,15480.000000000002
9,M26997,M,302.9,312.4,1292,49.7,218,0,0,0,0,0,0,9.5,10834.6,299.7444444444444,309.6333333333333,40.6,171.44444444444446,45.0,59.0,4.5,2.7999999999999545,4.700000000000003,159.0,0.0,0.0,0.0,0.0,68,0.65,High,Day,105,3,32.305,654,21243.199999999997
10,M44640,M,300.7,311.0,1718,26.1,243,0,0,0,0,0,0,10.300000000000011,6342.3,299.84000000000003,309.77,39.15,178.6,49.7,218.0,-2.1999999999999886,-1.3999999999999773,-23.6,25.0,2.6374229846575563,2.6762536003400923,10.324754503403728,76.11570140253586,87,0.93,Medium,Day,23,2,24.273000000000003,486,27057.0
11,L86882,L,301.2,309.5,1165,34.6,92,1,0,1,0,0,0,8.300000000000011,3183.2000000000003,300.17,310.01000000000005,40.58,164.0,26.1,243.0,0.5,-1.5,8.5,-151.0,2.57338946398195,2.512833725763272,8.194415442509884,77.44675590365294,48,0.52,Medium,Day,157,2,17.992,184,14856.0
12,H50491,H,301.5,312.0,1332,63.8,117,0,0,0,0,0,0,10.5,7464.599999999999,300.46,310.43,43.73,150.8,34.6,92.0,0.3000000000000113,2.5,29.2,25.0,2.5399912510785496,2.4526856028987263,10.412177699426977,72.43663897963978,52,0.9,High,Night,166,3,57.42,351,16224.0
13,M73043,M,298.8,306.8,1332,20.9,139,1,0,1,0,0,0,8.0,2905.1,299.84000000000003,309.7,42.190000000000005,158.0,63.8,117.0,-2.6999999999999886,-5.199999999999989,-42.9,22.0,2.010085680871428,2.32187663563572,12.552153423040826,66.51816794430427,40,0.73,Medium,Night,59,2,15.256999999999998,278,12272.0
14,L82725,L,302.8,313.1,1403,36.9,165,0,0,0,0,0,0,10.300000000000011,6088.5,300.09,310.04,41.2,149.7,20.9,139.0,4.0,6.300000000000011,16.0,26.0,2.218332707237569,2.558732325021725,12.538562738829182,58.76705426228771,40,0.43,Medium,Day,48,2,15.866999999999999,330,12524.0
15,L55520,L,298.7,309.0,1540,44.6,140,0,0,0,0,0,0,10.300000000000011,6244.0,299.89,309.78,41.8,150.4,36.9,165.0,-4.100000000000023,-4.100000000000023,7.700000000000003,-25.0,2.247195783390673,2.5143145741489312,12.543878542495891,58.587446512788816,53,0.98,Medium,Night,148,2,43.708,280,16377.0
16,L72919,L,302.8,313.0,1390,21.2,27,0,0,0,0,0,0,10.199999999999989,572.4,300.41,310.14,38.87,141.0,44.6,140.0,4.100000000000023,4.0,-23.4,-113.0,2.2600147492144105,2.7043997074725725,13.658375533796915,70.21554117303536,82,0.71,Low,Night,21,1,15.052,27,25666.0
17,L74442,L,300.9,310.1,1173,32.4,4,0,0,0,0,0,0,9.200000000000044,129.6,300.87,310.65,37.52,120.4,21.2,27.0,-1.900000000000034,-2.8999999999999773,11.2,-23.0,1.7384859313015424,2.02223748467988,13.55308902878684,77.55743391548974,65,0.57,Low,Night,156,1,18.467999999999996,4,20156.5
18,L31770,L,296.4,307.0,1620,59.8,173,0,0,0,0,0,0,10.600000000000025,10345.4,300.67,310.39,39.0,131.8,32.4,4.0,-4.5,-3.1000000000000227,27.4,169.0,2.126055293521587,2.3177815063355456,15.1720503265416,75.88997884364504,69,0.68,Medium,Night,178,2,40.664,346,21183.0
19,L57498,L,298.5,308.9,1546,41.6,45,0,0,0,0,0,0,10.399999999999975,1872.0,300.23,310.04,38.190000000000005,114.5,59.8,173.0,2.1000000000000227,1.8999999999999773,-18.2,-128.0,2.067768523473235,2.24360820505224,14.747613742945369,73.74467965743551,53,0.91,Low,Day,33,1,37.856,45,16371.699999999999
20,L71477,L,296.4,306.2,1611,34.2,80,0,0,0,0,0,0,9.800000000000011,2736.0,299.8,309.56,39.0,98.2,41.6,45.0,-2.1000000000000227,-2.6999999999999886,-7.399999999999999,35.0,2.382342451360752,2.512723179695227,14.222907969578904,58.65681735503751,32,0.58,Low,Night,114,1,19.836,80,9798.4
21,M10244,M,302.3,313.0,1568,42.0,154,0,0,0,0,0,0,10.699999999999989,6468.0,299.91,309.91,39.74,104.4,34.2,80.0,5.900000000000034,6.800000000000011,7.799999999999997,74.0,2.477655702025162,2.7371721011129457,14.16091648007132,61.152268968534656,51,0.52,Low,Day,40,1,21.84,154,15963.0
22,L42788,L,300.0,309.9,1708,34.2,153,0,0,0,0,0,0,9.899999999999975,5232.6,299.76,309.7,36.78,108.0,42.0,154.0,-2.300000000000012,-3.1000000000000227,-7.799999999999997,-1.0,2.4153214646870063,2.6377599924514947,11.396763673175917,63.0079360080935,82,0.48,Medium,Night,10,2,16.416,306,25411.8
23,L89453,L,295.5,306.1,1524,57.0,245,1,0,0,0,1,0,10.600000000000025,13965.0,299.42999999999995,309.63,40.39,118.6,34.2,153.0,-4.5,-3.7999999999999545,22.8,92.0,2.761662140410697,2.730913563057024,11.524510112509484,76.31397134353726,31,0.58,Medium,Night,162,2,33.059999999999995,490,9489.1
24,L67737,L,300.8,310.6,1719,30.0,61,0,0,0,0,0,0,9.800000000000011,1830.0,299.23,309.38,39.7,108.2,57.0,245.0,5.300000000000011,4.5,-27.0,-184.0,2.555190795224499,2.4809496389711354,11.95519412919199,76.37451581952367,53,0.87,Medium,Day,73,2,26.1,122,16461.800000000003
25,L56489,L,298.9,309.1,1399,34.7,195,0,0,0,0,0,0,10.200000000000044,6766.500000000001,299.25,309.39,38.71,113.7,30.0,61.0,-1.900000000000034,-1.5,4.700000000000003,134.0,2.5513612924171385,2.479448863490949,11.914179227570257,80.77272642008153,73,0.68,Medium,Day,36,2,23.596000000000004,390,22564.300000000003
26,M81303,M,297.0,307.6,1409,25.0,71,0,0,0,0,0,0,10.600000000000025,1775.0,298.67,308.85,39.09,118.1,34.7,195.0,-1.8999999999999773,-1.5,-9.700000000000005,-124.0,2.301714336942986,2.1752394504207,11.340434050090163,76.61657784056924,59,0.54,Medium,Day,75,2,13.5,142,18148.4
27,L38390,L,303.4,313.0,1784,37.0,89,0,0,0,0,0,0,9.600000000000025,3293.0,298.92,309.14,39.55,126.6,25.0,71.0,6.399999999999977,5.399999999999977,12.0,18.0,2.6761498048087224,2.525514249063368,11.130264047980967,66.61364558240138,67,0.5,Medium,Night,135,2,18.5,178,20971.0
